Winner,Loser,Tournament,Tournament_Date,Court_Surface,Round_Description,Winner_Rank,Loser_Rank,Retirement_Ind,Winner_Sets_Won,Winner_Games_Won,Winner_Aces,Winner_DoubleFaults,Winner_FirstServes_Won,Winner_FirstServes_In,Winner_SecondServes_Won,Winner_SecondServes_In,Winner_BreakPoints_Won,Winner_BreakPoints,Winner_ReturnPoints_Won,Winner_ReturnPoints_Faced,Winner_TotalPoints_Won,Loser_Sets_Won,Loser_Games_Won,Loser_Aces,Loser_DoubleFaults,Loser_FirstServes_Won,Loser_FirstServes_In,Loser_SecondServes_Won,Loser_SecondServes_In,Loser_BreakPoints_Won,Loser_BreakPoints,Loser_ReturnPoints_Won,Loser_ReturnPoints_Faced,Loser_TotalPoints_Won
edouard roger-vasselin,eric prodon,Chennai,2-Jan-12,Hard,First Round,106,97,0,2,12,5,2,22,30,12,19,4,7,25,59,59,0,7,2,3,21,33,13,26,1,3,15,49,49
dudi sela,fabio fognini,Chennai,2-Jan-12,Hard,First Round,83,48,0,2,12,2,0,14,17,11,16,6,14,36,58,61,0,1,1,4,17,32,5,26,0,1,8,33,30
go soeda,frederico gil,Chennai,2-Jan-12,Hard,First Round,120,102,0,2,19,6,1,48,64,19,39,5,11,42,105,109,1,14,5,2,45,70,18,35,2,4,36,103,99
yuki bhambri,karol beck,Chennai,2-Jan-12,Hard,First Round,345,101,0,2,12,1,2,22,29,9,17,5,13,34,62,65,0,5,1,1,15,33,13,29,2,3,15,46,43
yuichi sugita,olivier rochus,Chennai,2-Jan-12,Hard,First Round,235,67,0,2,12,3,1,37,51,11,27,3,7,22,54,70,0,7,0,0,19,32,13,22,1,7,30,78,62
benoit paire,pere riba,Chennai,2-Jan-12,Hard,First Round,95,89,0,2,12,8,2,24,25,11,19,4,8,27,52,62,0,3,0,5,13,20,12,32,0,1,9,44,34
victor hanescu,sam querrey,Chennai,2-Jan-12,Hard,First Round,90,93,0,2,12,3,0,29,39,11,18,3,4,29,65,69,0,7,9,8,29,41,7,24,1,3,17,57,53
yen-hsun lu,thiemo de bakker,Chennai,2-Jan-12,Hard,First Round,82,223,0,2,12,1,3,29,36,9,21,4,6,26,56,64,0,6,5,0,20,32,10,24,1,1,19,57,49
andreas beck,vasek pospisil,Chennai,2-Jan-12,Hard,First Round,98,119,0,2,13,0,4,33,47,17,27,3,6,40,95,90,0,9,15,3,39,57,16,38,1,5,24,74,79
ivan dodig,vishnu vardhan,Chennai,2-Jan-12,Hard,First Round,36,313,0,2,17,8,2,47,65,20,36,3,3,32,86,99,1,13,11,5,41,59,13,27,2,8,34,101,88
david goffin,xavier malisse,Chennai,2-Jan-12,Hard,First Round,174,49,0,2,16,8,3,40,51,18,34,3,12,27,77,85,1,11,4,1,31,43,19,34,1,4,27,85,77
david goffin,andreas beck,Chennai,2-Jan-12,Hard,Second Round,174,98,0,2,16,6,4,30,43,25,39,4,16,41,98,96,1,12,4,0,43,71,14,27,2,8,27,82,84
dudi sela,benoit paire,Chennai,2-Jan-12,Hard,Second Round,83,95,0,2,16,3,2,44,60,17,27,3,7,43,104,104,1,12,10,5,40,58,21,46,1,7,26,87,87
stan wawrinka,edouard roger-vasselin,Chennai,2-Jan-12,Hard,Second Round,17,106,0,2,16,10,1,35,52,19,30,5,11,45,104,99,1,14,4,0,43,70,16,34,4,6,28,82,87
go soeda,ivan dodig,Chennai,2-Jan-12,Hard,Second Round,120,36,0,2,13,4,3,32,43,18,30,2,7,27,69,77,0,9,12,2,31,41,11,28,1,4,23,73,65
milos raonic,victor hanescu,Chennai,2-Jan-12,Hard,Second Round,31,90,0,2,12,9,1,27,35,14,21,3,6,22,52,63,0,5,4,1,25,38,5,14,0,4,15,56,45
yuichi sugita,yen-hsun lu,Chennai,2-Jan-12,Hard,Second Round,235,82,0,2,13,3,4,36,51,19,42,3,10,33,79,88,0,10,3,4,34,45,12,34,2,9,38,93,84
janko tipsarevic,yuki bhambri,Chennai,2-Jan-12,Hard,Second Round,9,345,0,2,12,5,1,17,20,16,21,4,4,18,39,51,0,4,3,2,12,22,9,17,0,1,8,41,29
janko tipsarevic,david goffin,Chennai,2-Jan-12,Hard,Quarter-finals,9,174,0,2,15,7,0,36,44,13,23,4,13,38,91,87,1,10,10,5,34,51,19,40,1,2,18,67,71
milos raonic,dudi sela,Chennai,2-Jan-12,Hard,Quarter-finals,31,83,0,2,13,15,1,34,41,19,28,1,1,17,59,70,0,9,2,2,23,31,19,28,0,3,16,69,58
go soeda,stan wawrinka,Chennai,2-Jan-12,Hard,Quarter-finals,120,17,0,2,12,1,4,25,39,18,35,5,8,34,65,77,0,8,4,4,18,34,13,31,3,7,31,74,62
nicolas almagro,yuichi sugita,Chennai,2-Jan-12,Hard,Quarter-finals,10,235,0,2,17,6,0,43,65,35,58,3,6,39,105,117,1,16,3,1,36,65,30,40,3,12,45,123,111
janko tipsarevic,go soeda,Chennai,2-Jan-12,Hard,Semi-finals,9,120,0,2,12,4,0,25,31,9,13,4,6,30,61,64,0,5,1,1,21,33,10,28,1,1,10,44,41
milos raonic,nicolas almagro,Chennai,2-Jan-12,Hard,Semi-finals,31,10,0,2,12,17,1,38,42,4,12,2,6,21,60,63,0,8,4,0,31,45,8,15,0,3,12,54,51
milos raonic,janko tipsarevic,Chennai,2-Jan-12,Hard,Finals,31,9,0,2,20,35,1,73,83,15,30,0,9,45,138,133,1,19,8,2,59,83,34,55,0,4,25,113,118
igor andreev,adrian mannarino,Brisbane,2-Jan-12,Hard,First Round,115,87,0,2,13,7,3,33,41,16,29,3,6,23,60,72,0,8,3,3,24,35,13,25,1,3,21,70,58
alexandr dolgopolov,alejandro falla,Brisbane,2-Jan-12,Hard,First Round,15,74,0,2,13,5,0,26,37,16,38,5,9,30,58,72,0,8,0,3,16,33,12,25,3,7,33,75,61
tatsuma ito,benjamin mitchell,Brisbane,2-Jan-12,Hard,First Round,122,227,0,2,12,6,0,24,30,15,22,3,11,31,68,70,0,6,11,6,30,44,7,24,0,2,13,52,50
kei nishikori,cedrik-marcel stebe,Brisbane,2-Jan-12,Hard,First Round,25,81,0,2,15,1,2,31,49,16,26,5,14,40,90,87,1,11,4,2,27,49,23,41,3,6,28,75,78
denis istomin,florian mayer,Brisbane,2-Jan-12,Hard,First Round,73,23,1,1,9,10,1,23,28,18,28,0,0,16,55,57,1,9,2,1,28,38,11,17,0,2,15,56,54
jarkko nieminen,jesse levine,Brisbane,2-Jan-12,Hard,First Round,77,164,0,2,13,3,0,32,53,10,18,5,14,44,90,86,0,8,3,6,36,63,10,27,3,9,29,71,75
santiago giraldo,john millman,Brisbane,2-Jan-12,Hard,First Round,55,.,0,2,12,5,0,30,36,9,18,3,4,19,46,58,0,6,4,1,18,28,9,18,0,2,15,54,42
bernard tomic,julien benneteau,Brisbane,2-Jan-12,Hard,First Round,42,52,0,2,17,7,2,36,53,23,39,5,21,54,121,113,1,13,14,12,48,71,19,50,3,7,33,92,100
philipp petzschner,jurgen melzer,Brisbane,2-Jan-12,Hard,First Round,63,33,0,2,13,8,1,31,37,13,24,3,3,24,54,68,0,6,5,2,21,34,9,20,0,2,17,61,47
